Date,Stock_symbol,Close,High,Low,Open,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized,AvgSentiment,AvgConfidence,HeadlineCount,Tomorrow_Close,TomorrowUp
2021-08-27,MSFT,288.19097900390625,289.29673726337023,285.4121315880625,287.4890486022759,22605700,0.0021062027926925,287.1627899169922,281.8645812988281,286.8477741710914,283.39952440121,64.58755818784408,4.080783417896839,3.360241094113468,0.7205423237833712,0.0092928726588141,0.1475197801236834,0,0,0,291.91204833984375,1
2021-08-30,MSFT,291.91204833984375,292.5178193402861,289.4793689535972,289.53705863519326,16348100,0.012911817534327,288.0813262939453,282.7931396484375,287.7685512926827,284.2102409667942,69.88710760341263,4.2461017916830315,3.537413233627381,0.7086885580556506,0.0095364426922471,0.1513863345354307,0,0,0,290.267822265625,0
2021-08-31,MSFT,290.267822265625,292.7870360747933,289.902434734155,292.71012628359654,26285300,-0.0056326077788489,288.9813171386719,283.5291244506836,288.222964196854,284.78715347144475,65.24107121111676,4.19607277614557,3.669145142131019,0.5269276340145512,0.0096694946775724,0.1534984693231157,0,0,0,290.21978759765625,0
2021-09-01,MSFT,290.21978759765625,293.4505570216653,289.89286956645867,291.2197911507648,18983800,-0.0001654839575183,290.0486236572266,284.29198150634767,288.5860229969998,285.3045471977506,65.10490254630008,4.105225935460339,3.756361300796883,0.3488646346634563,0.0096284166287703,0.152846375514271,0,0,0,289.5659484863281,0
2021-09-02,MSFT,289.5659484863281,291.69093033858195,288.6332593639689,290.5755767585639,16285600,-0.0022529101710824,290.4697723388672,284.8777114868164,288.76419126778677,285.71039493951986,63.172122857271255,3.9351083284875017,3.792110706335007,0.1429976221524946,0.0095092620396259,0.1509548550515828,0,0,0,289.55633544921875,0
2021-09-03,MSFT,289.55633544921875,290.96016674016533,288.7101809142856,289.4120818879158,14747900,-3.319809238488958e-05,290.16016845703126,285.46583557128906,288.9082174825926,286.0766749880626,63.142442819715995,3.756213911762302,3.7849313474204664,-0.0287174356581645,0.0095071137219906,0.1509207515663815,0,0,0,288.6332702636719,0
2021-09-07,MSFT,288.6332702636719,289.5082697285104,286.7294517158089,289.4313599194175,17180400,-0.0031878604352235,289.73036499023436,286.06203308105466,288.8582270791524,286.32016025240637,60.21685280933132,3.4996137822985247,3.7278678343960783,-0.2282540520975535,0.009484556804221,0.1505626715978068,0,0,0,288.662109375,1
2021-09-08,MSFT,288.662109375,289.04671710020153,286.0275156464967,288.2486568040006,15046800,9.99161021935091e-05,289.49864196777344,286.75036163330077,288.82256931476104,286.5432030259867,60.27877536894851,3.260992712171628,3.6344928099511886,-0.3735000977795604,0.0092774205205131,0.1472744850326708,0,0,0,285.8160095214844,0
2021-09-09,MSFT,285.8160095214844,290.5179253274323,285.57562599791714,289.2486932805111,19927000,-0.0098596239723941,289.04095764160155,287.27191162109375,288.2759220796198,286.4739465017484,51.722542917334,2.8098372676359418,3.4695617014881392,-0.6597244338521975,0.0096804215531518,0.1536719280954563,0,0,0,284.33514404296875,0
2021-09-10,MSFT,284.33514404296875,288.38322235824313,284.017850808825,286.9409216974985,19633400,-0.0051811845004585,288.7159454345703,287.5821807861328,287.55941698204686,286.2702510294837,47.911790654293725,2.306215245652197,3.236892410320951,-0.930677164668754,0.0096087669355594,0.1525344463048237,0,0,0,285.56597900390625,1
