Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized
2018-08-22,GOOGL,60.17738531551738,60.787476831600465,60.12782554172561,60.55057907104492,22296000,0.003564928613545293,61.241903686523436,61.504030418396,61.00562134326277,61.49840032983304,51.79905760949125,-0.5862324774899719,-0.4629805531568384,-0.12325192433313348,0.01021331344111331,0.16213132456283488
2018-08-23,GOOGL,60.45790656141297,61.21568682937405,60.43163878141544,60.52134323120117,24666000,-0.0004828333649699035,61.02730598449707,61.34459400177002,60.91757077743338,61.40534727282048,51.540032295268375,-0.5908322592056123,-0.4885508943665932,-0.10228136483901912,0.00997116776756584,0.15828738116329386
2018-08-24,GOOGL,60.76121686857708,61.32620668102879,60.53422952112296,61.29399490356445,24454000,0.0127665982133216,60.94919929504395,61.304598808288574,60.98601152763903,61.39474228527229,57.57767824705214,-0.5260669147862558,-0.4960540984505257,-0.030012816335730053,0.008967028759388901,0.14234716857904245
2018-08-27,GOOGL,61.66024554727935,62.34071224621682,61.48876576119388,62.26141357421875,28580000,0.015783253680501153,60.98701400756836,61.36959743499756,61.21790280883534,61.47728240802909,63.679406449045516,-0.3921567719008152,-0.47527463314058366,0.08311786123976844,0.008668921333923224,0.137614859908459
2018-08-28,GOOGL,62.24307389397882,62.27578478470484,61.60225654145498,61.745487213134766,27330000,-0.008286454345739713,60.9261531829834,61.41578750610351,61.31382724598069,61.502825722801056,58.8204324503374,-0.32392891357959996,-0.44500548922838695,0.12107657564878699,0.00889278114584088,0.1411685242537139
2018-08-29,GOOGL,62.19847752958792,62.801630721454984,62.08944373689959,62.676734924316406,36926000,0.015082036812943622,61.0868782043457,61.49424171447754,61.561628642041725,61.61462659913585,64.13937826831318,-0.1924949745319111,-0.3945033862890918,0.2020084117571807,0.009420273288298675,0.14954220241861776
2018-08-30,GOOGL,62.61477577314226,62.91659999479421,61.812392889065606,62.17071533203125,30104000,-0.00807348361231941,61.237443161010745,61.52722396850586,61.67237167658527,61.66758743084018,59.6321355592175,-0.12769222651978396,-0.3411411543352303,0.21344892781544633,0.009556994150527262,0.15171257882156478
2018-08-31,GOOGL,62.06019862087965,62.07704750902124,60.74882500359902,61.04866790771485,42308000,-0.018047844846628358,61.3164924621582,61.51146354675293,61.5589709913361,61.60864271435205,51.063269037162634,-0.16497371732162236,-0.3059076669325087,0.14093394961088634,0.010415557425411424,0.16534184828250484
2018-09-04,GOOGL,60.588747317717875,60.85389800636838,59.79776081224916,60.033172607421875,41458000,-0.016634192605612053,61.26375961303711,61.44614315032959,61.2815531033517,61.45859794226346,44.790233729489906,-0.27331099227723854,-0.2993883320014547,0.026077339724216164,0.01104503303016996,0.17533446372194328
2018-09-05,GOOGL,59.92959274677737,60.20961099849978,58.25048146505982,59.42804336547851,53988000,-0.010079914414993896,61.1730152130127,61.30554008483887,60.9445513328293,61.26521179209347,41.517188834936405,-0.4033483866308032,-0.32018034292732445,-0.08316804370347874,0.010570262717090705,0.16779771865223939
