Date,Stock_symbol,Open,High,Low,Close,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized,AvgSentiment,AvgConfidence,HeadlineCount,Tomorrow_Close,TomorrowUp
2018-08-22,GOOGL,60.17738531551738,60.787476831600465,60.12782554172561,60.55057907104492,22296000,0.0035649286135452,61.24190368652344,61.504030418396,61.00562134326277,61.49840032983304,51.79905760949125,-0.5862324774899719,-0.4629805531568384,-0.1232519243331334,0.0102133134411133,0.1621313245628348,0.3333333333333333,0.8059834043184916,3.0,60.52134323120117,0
2018-08-23,GOOGL,60.45790656141297,61.21568682937405,60.43163878141544,60.52134323120117,24666000,-0.0004828333649699,61.02730598449707,61.34459400177002,60.91757077743338,61.40534727282048,51.540032295268375,-0.5908322592056123,-0.4885508943665932,-0.1022813648390191,0.0099711677675658,0.1582873811632938,0.0,0.9031498432159424,4.0,61.29399490356445,1
2018-08-24,GOOGL,60.76121686857708,61.32620668102879,60.53422952112296,61.29399490356445,24454000,0.0127665982133216,60.94919929504395,61.304598808288574,60.98601152763903,61.39474228527229,57.57767824705214,-0.5260669147862558,-0.4960540984505257,-0.03001281633573,0.0089670287593889,0.1423471685790424,0.0,0.0,0.0,62.26141357421875,1
2018-08-27,GOOGL,61.66024554727935,62.34071224621682,61.48876576119388,62.26141357421875,28580000,0.0157832536805011,60.98701400756836,61.36959743499756,61.21790280883534,61.47728240802909,63.67940644904552,-0.3921567719008152,-0.4752746331405836,0.0831178612397684,0.0086689213339232,0.137614859908459,0.0,0.0,0.0,61.745487213134766,0
2018-08-28,GOOGL,62.24307389397882,62.27578478470484,61.60225654145498,61.745487213134766,27330000,-0.0082864543457397,60.9261531829834,61.41578750610351,61.31382724598069,61.502825722801056,58.8204324503374,-0.3239289135795999,-0.4450054892283869,0.1210765756487869,0.0088927811458408,0.1411685242537139,-0.25,0.880256325006485,8.0,62.676734924316406,1
2018-08-29,GOOGL,62.19847752958792,62.801630721454984,62.08944373689959,62.676734924316406,36926000,0.0150820368129436,61.0868782043457,61.49424171447754,61.561628642041725,61.61462659913585,64.13937826831318,-0.1924949745319111,-0.3945033862890918,0.2020084117571807,0.0094202732882986,0.1495422024186177,0.4,0.7200475931167603,5.0,62.17071533203125,0
2018-08-30,GOOGL,62.61477577314226,62.91659999479421,61.812392889065606,62.17071533203125,30104000,-0.0080734836123194,61.237443161010745,61.52722396850586,61.67237167658527,61.66758743084018,59.6321355592175,-0.1276922265197839,-0.3411411543352303,0.2134489278154463,0.0095569941505272,0.1517125788215647,0.0,0.8125371932983398,6.0,61.04866790771485,0
2018-08-31,GOOGL,62.06019862087965,62.07704750902124,60.74882500359902,61.04866790771485,42308000,-0.0180478448466283,61.3164924621582,61.51146354675293,61.5589709913361,61.60864271435205,51.063269037162634,-0.1649737173216223,-0.3059076669325087,0.1409339496108863,0.0104155574254114,0.1653418482825048,0.0,0.903014838695526,1.0,60.033172607421875,0
2018-09-04,GOOGL,60.588747317717875,60.85389800636838,59.79776081224916,60.033172607421875,41458000,-0.016634192605612,61.26375961303711,61.44614315032959,61.2815531033517,61.45859794226346,44.790233729489906,-0.2733109922772385,-0.2993883320014547,0.0260773397242161,0.0110450330301699,0.1753344637219432,-0.25,0.7688078433275223,4.0,59.42804336547851,0
2018-09-05,GOOGL,59.92959274677737,60.20961099849978,58.25048146505982,59.42804336547851,53988000,-0.0100799144149938,61.1730152130127,61.30554008483887,60.9445513328293,61.26521179209347,41.517188834936405,-0.4033483866308032,-0.3201803429273244,-0.0831680437034787,0.0105702627170907,0.1677977186522393,-0.5,0.8306844035784403,6.0,58.67918395996094,0
2018-09-06,GOOGL,59.40177671377289,59.422592049532845,57.6691391707006,58.67918395996094,46854000,-0.0126011115814824,60.9858757019043,61.11388969421387,60.53266635594414,61.01892342712846,37.83273434445045,-0.5603710454775239,-0.3682184834373643,-0.1921525620401595,0.010690815920153,0.1697114414225705,0.5,0.861545741558075,2.0,58.36199569702149,0
2018-09-07,GOOGL,58.08494944415617,58.90517953017783,57.94965165488326,58.36199569702149,32658000,-0.0054054647923508,60.76994094848633,60.8986234664917,60.13799896341274,60.76588269092779,36.36082686851778,-0.7023112687346256,-0.4350370404968166,-0.2672742282378089,0.0106191432587409,0.1685736731951798,0.0,0.0,0.0,58.236602783203125,0
2018-09-10,GOOGL,58.68958681588538,58.81150682548309,58.01605854552151,58.236602783203125,27670000,-0.0021485371142777,60.46420173645019,60.70670051574707,59.79229056701099,60.52499889019211,35.76837568970025,-0.8155173026596287,-0.511133092929379,-0.3043842097302497,0.0105288787075127,0.1671407678666518,0.0,0.0,0.0,58.97654342651367,1
2018-09-11,GOOGL,58.04034491712475,59.02362654143486,57.78510845523832,58.97654342651367,29254000,0.0127057659263731,60.13571472167969,60.561364364624026,59.64397290510238,60.37752694127036,41.79517055882934,-0.8358912402836864,-0.5760847224002406,-0.2598065178834459,0.0111087931120768,0.1763466236437361,0.0,0.691973865032196,1.0,58.06512451171875,0
2018-09-12,GOOGL,58.580550747320544,59.01123342912516,57.7955120558936,58.06512451171875,35716000,-0.0154539222179166,59.76767845153809,60.346915817260744,59.35690956085081,60.15729813845592,37.16897556389493,-0.9150336833028874,-0.6438745145807699,-0.2711591687221174,0.011217775568099,0.1780766664991585,0.25,0.8149140030145645,4.0,58.587493896484375,1
2018-09-13,GOOGL,58.4665683293055,58.87098326434867,57.94717182481978,58.587493896484375,40068000,0.0089962673663122,59.358754348754886,60.22281627655029,59.21701580369327,60.00779297255387,41.18702557919421,-0.9249416443388724,-0.7000879405323904,-0.224853703806482,0.0107865328396684,0.1712309004143637,-1.0,0.7938783168792725,1.0,58.38132095336914,0
2018-09-14,GOOGL,58.87792078186746,58.87792078186746,58.16028137690929,58.38132095336914,24176000,-0.0035190606288691,58.97981491088867,60.108629035949704,59.06507128545252,59.85289087548866,40.09710988431502,-0.9386104908196912,-0.7477924505898507,-0.1908180402298406,0.0107390176119411,0.1704766195580341,0.0,0.6359459757804871,1.0,57.4818000793457,0
2018-09-17,GOOGL,58.37091550269428,58.57163507815702,57.41390162752247,57.4818000793457,34096000,-0.0154076827885054,58.62312812805176,59.96981029510498,58.777203793433095,59.62707270442743,35.662925918148645,-1.0103799360949068,-0.800309947690862,-0.2100699884040449,0.0111152546937913,0.1764491980734919,0.0,0.0,0.0,57.84259033203125,1
2018-09-18,GOOGL,57.62204612138565,58.547343408671246,57.561086124059734,57.84259033203125,32314000,0.0062765997617946,58.404069900512695,59.8339147567749,58.60727407317821,59.457122002294454,38.59601611838243,-1.026314268377277,-0.845510811828145,-0.180803456549132,0.0111623401258332,0.177196656134833,0.5,0.9106546342372894,2.0,58.197452545166016,1
