Date,Ticker,Close,High,Low,Open,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized
2021-08-27,MSFT,288.19097900390625,289.29673726337023,285.4121315880625,287.4890486022759,22605700,0.0021062027926925797,287.1627899169922,281.8645812988281,286.8477741710914,283.39952440121,64.58755818784408,4.080783417896839,3.360241094113468,0.7205423237833712,0.00929287265881418,0.1475197801236834
2021-08-30,MSFT,291.91204833984375,292.5178193402861,289.4793689535972,289.53705863519326,16348100,0.01291181753432702,288.0813262939453,282.7931396484375,287.7685512926827,284.2102409667942,69.88710760341263,4.2461017916830315,3.537413233627381,0.7086885580556506,0.00953644269224711,0.15138633453543074
2021-08-31,MSFT,290.267822265625,292.7870360747933,289.902434734155,292.71012628359654,26285300,-0.005632607778848997,288.9813171386719,283.5291244506836,288.222964196854,284.78715347144475,65.24107121111676,4.19607277614557,3.669145142131019,0.5269276340145512,0.009669494677572409,0.1534984693231157
2021-09-01,MSFT,290.21978759765625,293.4505570216653,289.89286956645867,291.2197911507648,18983800,-0.0001654839575183642,290.0486236572266,284.29198150634767,288.5860229969998,285.3045471977506,65.10490254630008,4.105225935460339,3.756361300796883,0.3488646346634563,0.009628416628770314,0.152846375514271
2021-09-02,MSFT,289.5659484863281,291.69093033858195,288.6332593639689,290.5755767585639,16285600,-0.002252910171082423,290.4697723388672,284.8777114868164,288.76419126778677,285.71039493951986,63.172122857271255,3.9351083284875017,3.792110706335007,0.14299762215249467,0.009509262039625965,0.15095485505158285
2021-09-03,MSFT,289.55633544921875,290.96016674016533,288.7101809142856,289.4120818879158,14747900,-3.319809238488958e-05,290.16016845703126,285.46583557128906,288.9082174825926,286.0766749880626,63.142442819715995,3.756213911762302,3.7849313474204664,-0.028717435658164536,0.00950711372199065,0.15092075156638154
2021-09-07,MSFT,288.6332702636719,289.5082697285104,286.7294517158089,289.4313599194175,17180400,-0.003187860435223566,289.73036499023436,286.06203308105466,288.8582270791524,286.32016025240637,60.21685280933132,3.4996137822985247,3.7278678343960783,-0.22825405209755356,0.009484556804221066,0.1505626715978068
2021-09-08,MSFT,288.662109375,289.04671710020153,286.0275156464967,288.2486568040006,15046800,9.99161021935091e-05,289.49864196777344,286.75036163330077,288.82256931476104,286.5432030259867,60.278775368948516,3.2609927121716282,3.6344928099511886,-0.3735000977795604,0.009277420520513122,0.1472744850326708
2021-09-09,MSFT,285.8160095214844,290.5179253274323,285.57562599791714,289.2486932805111,19927000,-0.00985962397239415,289.04095764160155,287.27191162109375,288.2759220796198,286.4739465017484,51.722542917333996,2.8098372676359418,3.4695617014881392,-0.6597244338521975,0.009680421553151833,0.1536719280954563
2021-09-10,MSFT,284.33514404296875,288.38322235824313,284.017850808825,286.9409216974985,19633400,-0.005181184500458569,288.7159454345703,287.5821807861328,287.55941698204686,286.2702510294837,47.911790654293725,2.306215245652197,3.236892410320951,-0.9306771646687539,0.009608766935559494,0.1525344463048237
2021-09-13,MSFT,285.56597900390625,287.0563743400453,282.7679114864811,286.1044357072228,23652900,0.00432881754761727,288.4534454345703,287.80811767578126,287.196973713294,286.20317750323824,51.134367413302414,1.9835441968718897,2.986222767631139,-1.0026785707592492,0.009389763669862316,0.14905787724074931
2021-09-14,MSFT,288.2582702636719,289.7967304480166,286.6332755453167,288.0371068920759,21853400,0.009427913188947423,288.08806762695315,288.0846969604492,287.3899367224536,286.39890062327953,57.350055520227585,1.9229044249954654,2.773559099104004,-0.8506546741085388,0.009519983101592489,0.15112504663410645
2021-09-15,MSFT,293.0948181152344,293.57558514343583,290.2102159460255,291.594827334741,28356300,0.016778522424138798,288.3707672119141,288.676042175293,288.42718788477737,287.03660705108473,65.7728243843944,2.239302672510405,2.6667078137852847,-0.4274051412748796,0.0100220902276732,0.15909575015684396
2021-09-16,MSFT,293.47930908203125,293.56584359142914,289.1908771132442,292.0754781345562,19550800,0.0013118313359115064,288.69671936035155,289.37267150878904,289.34575537518714,287.65019772069866,66.34188887706054,2.492345562672483,2.6318353635627245,-0.13948980089024143,0.009837022993439862,0.15615789889119625
2021-09-17,MSFT,288.3352355957031,292.78714332382805,288.0083175119213,292.4698499713523,41372500,-0.017527891497421733,288.5736480712891,289.52171020507814,289.16202450619005,287.71543942308006,53.520947250616175,2.2518423003553494,2.55583675092125,-0.30399445056590046,0.009816302254640273,0.1558289673601248
2021-09-20,MSFT,282.9795227050781,287.22951707140544,278.38339008801586,284.9314360910258,38278700,-0.018574604243425386,287.915966796875,289.03806762695314,288.0379332696242,287.2643997356513,43.98919201111577,1.610515442018766,2.3667724891407533,-0.7562570471219874,0.008808572350074916,0.13983175106290807
2021-09-21,MSFT,283.46026611328125,286.09488973494166,282.7583649379166,284.3160456232451,22364100,0.0016988628845209242,287.39866638183594,288.5645156860352,287.2056301502891,286.90210129542555,44.93714875556628,1.1280478283978255,2.119027556992168,-0.9909797285943425,0.008821705529579787,0.14004023382426883
2021-09-22,MSFT,287.0947570800781,288.67168664091787,283.18133670640134,285.3159429755358,26626300,0.012821871003763086,287.24193115234374,288.3702865600586,287.1854714102507,286.92044946539244,51.60562364100279,1.0271217942410544,1.9006464044419453,-0.8735246102008909,0.009296820322569909,0.1475824473430276
2021-09-23,MSFT,288.0371398925781,289.32559200827507,286.08522692976766,287.3544589280449,18604600,0.003282480049738856,287.46404418945315,288.2525009155273,287.34032022521933,287.02680093464824,53.18864749554091,1.0115194357792916,1.7228210107094146,-0.711301574930123,0.009330701598500697,0.14812029592431414
2021-09-24,MSFT,287.8351745605469,288.26784720291187,285.50824964587054,286.7582613035244,14999000,-0.0007011780915008314,287.8140472412109,288.26499633789064,287.4302937407334,287.10378889901955,52.79010080471962,0.9716568841639628,1.5725881854003243,-0.6009313012363615,0.009072033485259076,0.14401406692587643
2021-09-27,MSFT,282.8544616699219,285.0659780697312,281.67176431973326,284.7486847699523,23571700,-0.01730404526906526,287.5428955078125,287.99817047119143,286.5983242733131,286.69909106767693,44.02833086993367,0.5320307013481056,1.3644766885898807,-0.8324459872417751,0.009849114362959906,0.15634984343175756
2021-09-28,MSFT,272.6141052246094,279.59485135493725,271.87373461890644,278.6525374846611,43186200,-0.03620362353436213,285.9784790039063,287.0332733154297,284.0557389917306,285.3576638445276,32.19641406368822,-0.6353633258556215,0.9645086857007803,-1.5998720115564018,0.012094463908842256,0.19199366246065663
2021-09-29,MSFT,273.0755615234375,275.73899921823397,272.123652582752,274.1332544262429,26353700,0.0016927088143436908,283.97655334472654,286.1736602783203,282.05934308840455,284.1879398139476,33.06928203423246,-1.5059363395605487,0.4704196806485145,-1.9763560202090633,0.012132358618210564,0.1925952223226183
2021-09-30,MSFT,271.07574462890625,276.75838613921286,270.7872667519901,274.71993825460197,32343600,-0.0073233096487090865,281.73619689941404,285.2164581298828,280.0623251866776,282.93915932013414,31.195039570235764,-2.330377098698648,-0.08973967522091796,-2.2406374234777298,0.012150603700751834,0.1928848540289426
2021-10-01,MSFT,277.9794006347656,278.8255549921346,270.46982472863607,271.2678847944345,30086300,0.025467627195159936,280.7006134033203,284.6371307373047,279.68361163178446,282.46680135009905,43.16950284100885,-2.3990304668015483,-0.5515978335370441,-1.8474326332645044,0.013755617562875876,0.21836365920889175
2021-10-04,MSFT,272.21990966796875,276.68144205400307,269.4699361794418,276.3448992444517,31350700,-0.020719128660775188,279.62465209960936,283.7703094482422,278.3265749110907,281.4909069041819,37.332231302717325,-2.8849259124751256,-1.0182634493246605,-1.8666624631504651,0.014368025495437791,0.228085333751784
2021-10-05,MSFT,277.6524963378906,279.2293964365477,273.12365122676954,273.12365122676954,24993000,0.019956610361630434,279.0438751220703,283.2212707519531,278.20401517050885,281.1253439931065,44.90036532190994,-2.7993678416845,-1.3744843277966285,-1.4248835138878715,0.01525535444524656,0.2421712441455967
2021-10-06,MSFT,281.835205078125,282.3352215175468,274.5275704532508,274.7871740588591,28002600,0.015064545773592508,278.517919921875,282.8799255371094,278.8642315173481,281.1929498107273,49.91551016282272,-2.366770162024352,-1.5729414946421734,-0.7938286673821786,0.01571487133239243,0.24946584858533177
2021-10-07,MSFT,283.5082702636719,285.2294241243567,282.61405079814455,283.82556353271264,20430500,0.00593632433209712,278.0650329589844,282.76453857421876,279.7086021984979,281.41345652053155,51.80513442209585,-1.867404726839311,-1.631834141081601,-0.23557058575770995,0.015647093368909352,0.24838990677085188
2021-10-08,MSFT,283.5082702636719,285.2294241243567,282.4602018561691,284.8255669837104,17685700,0.0,277.63234252929686,282.7231948852539,280.39945093762043,281.6129625913068,51.80513442209585,-1.4548830357189217,-1.5964439200090652,0.14156088429014346,0.015604655331364969,0.24771622381001954
2021-10-11,MSFT,282.912109375,286.5082365093531,281.4890287428217,281.65250240514854,19298600,-0.0021027989346392717,277.6381072998047,282.5905014038086,280.8562979262349,281.73669085642047,51.00980716188533,-1.1626594108809059,-1.5096870181834334,0.3470276073025276,0.015576362374717621,0.24726708704715786
2021-10-12,MSFT,281.6140441894531,284.07556854608913,281.10443241273595,283.979409290472,17974100,-0.004588227730564554,278.53810119628906,282.25829010009767,280.9940699740927,281.7250102214712,49.237311820663685,-1.0240089570954751,-1.412551405965842,0.3885424488703668,0.01542783947417198,0.24490935909410738
2021-10-13,MSFT,284.9120788574219,285.8447678202036,282.20054649011644,283.565937401779,23416300,0.011711186767908499,279.7217529296875,281.84915313720705,281.7064352256071,282.02854056775226,53.64463431281285,-0.6406189818177381,-1.2581649211362211,0.617545939318483,0.015158873084354296,0.24063965002315268
2021-10-14,MSFT,291.1044006347656,291.60438772035315,286.37364073387175,287.7005622674281,27262900,0.021734149714454754,281.72461853027346,281.73040771484375,283.41515620909047,282.8929081931821,60.56725058777864,0.16103266745369638,-0.9743254034182377,1.1353580708719342,0.016008451451674583,0.2541262884982913
2021-10-15,MSFT,292.50823974609375,292.7390278517721,288.9601770620516,290.71017592364666,25384800,0.004822459256084821,283.17750244140626,281.9390579223633,285.0684441249092,283.8086540553642,61.95439984040374,0.89925935690394,-0.5996084513538021,1.4988678082577422,0.015513802984660248,0.24627398751757568
2021-10-18,MSFT,295.4697570800781,296.3543518258326,291.0466953202489,291.8928498378823,22729300,0.010124560376675529,285.5024871826172,282.5635696411133,286.9595919349399,284.9192352958131,64.76993648415998,1.7036405179374015,-0.13895865749556144,1.842599175432963,0.01494083997909761,0.23717848177862252
2021-10-19,MSFT,296.3736572265625,297.4024763811832,295.4024984250073,296.48903662007575,17682100,0.0030591968376627587,287.3746032714844,283.20923919677733,288.6712401697804,286.01013262255117,65.6065471250952,2.3865449661254843,0.3661420672286477,2.0204028988968368,0.014941206408297904,0.23718429866184507
2021-10-20,MSFT,295.5851135253906,297.7870341774877,294.3351019599555,297.31586265453666,16537100,-0.0026606403165213566,288.7495941162109,283.63375701904295,289.9283080526186,286.92203556567875,64.17480594757329,2.831483199044044,0.8592102935917271,1.972272905452317,0.014769453735179659,0.2344578095013564
2021-10-21,MSFT,298.8062744140625,299.0562532662077,294.5755019170204,295.35437134682337,16918100,0.010897574814420441,290.27939453125,284.1722137451172,291.5424837546993,288.0538678369534,67.31289409134976,3.4047726182441806,1.3683227585222177,2.036449859721963,0.01491358468645966,0.2367458174212407
