Date,Stock_symbol,Close,High,Low,Open,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized,AvgSentiment,AvgConfidence,HeadlineCount,Tomorrow_Close,TomorrowUp,SentimentEMA
2021-08-27,META,369.38616943359375,370.4864920908366,360.91058112633107,361.9217211377598,11219100,0.0226410551141784,359.76173095703126,358.17119140625,361.313416673916,358.9873424932843,48.55313722267868,2.542230673601807,1.569842451212495,0.972388222389312,0.0112242747039387,0.1781798370821711,0,0,0,377.3463134765625,1,0.0
2021-08-30,META,377.3463134765625,378.1690749179181,367.2945688504509,369.31681888061235,13547300,0.0215496537273569,361.1594543457031,359.59419403076174,364.2284888198517,360.7358159202632,55.91897430475371,3.682560787228226,1.9923861184156415,1.6901746688125847,0.0114629212930359,0.1819682342380807,0,0,0,376.0774536132813,0,0.0
2021-08-31,META,376.0774536132813,379.4280351230296,375.5024856460896,376.6424989511328,12345400,-0.0033625871459852,363.2342376708984,360.988948059082,366.3828460550207,362.1969242719792,54.57758468548295,4.432795721491686,2.4804680390308507,1.952327682460836,0.011503900140873,0.1826187532804257,0,0,0,378.7242126464844,1,0.0
2021-09-01,META,378.7242126464844,380.984363857357,375.5124267815391,376.28563561020815,11567200,0.007037803005135,365.87108459472654,362.1353805541992,368.6267308898323,363.7709517362178,56.90009415373392,5.181207906580482,3.0206160125407773,2.160591894039705,0.0107391234394894,0.1704782995182826,0,0,0,372.01312255859375,0,0.0
2021-09-02,META,372.01312255859375,378.42680131818895,370.8037416560267,378.1789776107114,14832900,-0.017720256228125,367.8695373535156,362.74552154541016,369.24243846597074,364.5559203859679,49.92896426912304,5.173168011458415,3.4511264123243053,1.7220415991341098,0.0115176308852544,0.1828367220901198,0,0,0,372.9846801757813,1,0.0
2021-09-03,META,372.9846801757813,373.876839658394,369.8620766087509,371.4878149898031,7509600,0.0026116218979197,369.54384460449216,363.37747650146486,369.9228460495726,365.3586594135692,50.86743302849602,5.185418638458032,3.79798485755105,1.387433780906981,0.0115191179729736,0.1828603288758155,0,0,0,378.85308837890625,1,0.0
2021-09-07,META,378.85308837890625,379.6262972127844,369.9016963878122,372.6079424323459,10793800,0.0157336440744946,371.4104522705078,364.3970260620117,371.5465264730878,366.64384312455365,56.20665308066724,5.604058745462453,4.159199635133332,1.444859110329121,0.0117974325209195,0.1872784353565142,0,0,0,374.2832336425781,0,0.0
2021-09-08,META,374.2832336425781,377.554494807856,371.5274349497435,376.8506838787292,11067200,-0.0120623399320362,372.60594787597654,365.21187286376954,372.0441095948133,367.37140412627025,51.51219777981992,5.5036423973917294,4.428088187585011,1.075554209806718,0.0122329981111999,0.1941928247457482,0,0,0,374.7095031738281,1,0.0
2021-09-09,META,374.7095031738281,376.5235596799351,373.2919586101133,374.35265150125184,9098900,0.0011388956088187,373.55858154296874,366.10602416992185,372.5287266091796,368.0702707022282,51.91562761641415,5.396253455984265,4.621721241264862,0.7745322147194029,0.0121676510461007,0.1931554722467855,0,0,0,375.3934631347656,1,0.0
2021-09-10,META,375.3934631347656,380.4490731082647,374.9672135938655,378.0402035416748,11549600,0.0018253072183767,374.9771240234375,366.90104217529296,373.04958779564976,368.76771760056505,52.59713594540436,5.305181963663074,4.758413385744505,0.5467685779185691,0.0121120179552249,0.1922723243080454,0,0,0,373.2324523925781,0,0.0
