Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized
2019-07-30,TSLA,15.526666641235352,16.224000930786133,15.478667259216309,16.150667190551758,121635000,0.02752683338998274,16.54800033569336,16.212100124359132,16.219604871578067,16.14065564863758,45.980666106717266,0.1826058416220846,0.3202920100467774,-0.13768616842469278,0.03784232247281297,0.6007282457770436
2019-07-31,TSLA,16.200000762939453,16.44533348083496,15.776666641235352,16.107332229614258,137673000,-0.002683168467668695,16.45966682434082,16.268966722488404,16.199191663948284,16.13748198968298,45.579375952422076,0.15941454537819055,0.28811651711306,-0.12870197173486947,0.03770328278371289,0.5985210591386844
2019-08-01,TSLA,16.176666259765625,16.30066680908203,15.451333045959473,15.59000015258789,123892500,-0.032117800120570084,16.328400230407716,16.265466737747193,16.088429570973666,16.08534086234059,40.98121891785546,0.09815938069066377,0.2501250898285808,-0.15196570913791702,0.037202761105595096,0.5905755238221059
2019-08-02,TSLA,15.423333168029783,15.751333236694336,15.281999588012695,15.62266731262207,92047500,0.002095391899579857,16.169466972351074,16.269600105285644,16.00374552400065,16.04127671474835,41.383345799235165,0.05165474442036455,0.21043102074693754,-0.15877627632657298,0.03715433534463494,0.5898067886988082
2019-08-05,TSLA,15.30666732788086,15.424667358398438,15.052000045776367,15.221332550048828,105424500,-0.025689260005491543,15.987066841125488,16.262866735458374,15.861488619645773,15.963186794300777,37.96124065012512,-0.017384478668139636,0.1648679208639221,-0.18225239953206174,0.03753268776408054,0.595812947157564
2019-08-06,TSLA,15.458666801452637,15.5,15.050000190734863,15.383333206176758,83463000,0.010643000906475075,15.790933418273926,16.265166759490967,15.774551271742315,15.90796264305087,40.113962915527324,-0.05835379508718219,0.12022357767370125,-0.17857737276088342,0.037601534502843,0.5969058552536239
2019-08-07,TSLA,15.100000381469728,15.571332931518556,15.053333282470703,15.56133270263672,71647500,0.011570931609834245,15.58120002746582,16.24683337211609,15.73578425917766,15.874950267773333,42.47586390027561,-0.07558787182225046,0.08106128777451091,-0.15664915959676137,0.03665252719501159,0.5818408312801948
2019-08-08,TSLA,15.630000114440918,15.986666679382324,15.510000228881836,15.886667251586914,79114500,0.020906599400388748,15.644400024414063,16.24583339691162,15.763217530524797,15.876066170993674,46.61979428354255,-0.06227633975458424,0.052393762268691885,-0.11467010202327613,0.03696135017297626,0.5867432440732163
2019-08-09,TSLA,15.736666679382324,15.93066692352295,15.587332725524902,15.667332649230955,58473000,-0.013806206102419005,15.690866565704345,16.21226668357849,15.745783915744097,15.856186787968653,44.30264684406104,-0.068634152256978,0.02818817936355791,-0.09682233162053591,0.03654669020456388,0.580160721142778
2019-08-12,TSLA,15.53266716003418,15.718000411987305,15.25,15.267333030700684,69958500,-0.025530805242071963,15.645799827575683,16.13063335418701,15.658792845736203,15.800105477752656,40.36261509656654,-0.10474199028540632,0.001602145433765066,-0.10634413571917138,0.03590925877443668,0.5700418108909411
2019-08-13,TSLA,15.253999710083008,15.733332633972168,15.170000076293944,15.666666984558104,72721500,0.026156104216395137,15.597399806976318,16.07270007133484,15.660224507340184,15.787397049829364,45.56726529071074,-0.09998226603659788,-0.018714736860307522,-0.08126752917629035,0.03655395124387344,0.5802759865684157
2019-08-14,TSLA,15.413999557495115,15.43333339691162,14.446000099182127,14.641332626342772,143439000,-0.06544687260065951,15.45079984664917,15.955233335494995,15.474971438067927,15.678248057116356,36.70882284051332,-0.17690679252508978,-0.05035314799326398,-0.1265536445318258,0.03897173948305023,0.6186571849904869
