Date,Stock_symbol,Open,High,Low,Close,Volume,Daily_Return,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,Volatility_20,Volatility_20_annualized,AvgSentiment,AvgConfidence,HeadlineCount,Tomorrow_Close,TomorrowUp,SentimentEMA
2020-05-26,AMZN,122.9000015258789,123.0999984741211,120.7030029296875,121.09300231933594,71364000,-0.0061636144559753,121.01255111694336,119.47652549743653,121.19617281249764,120.26963500071815,34.60238252212538,0.9961771849459496,0.6592426655767587,0.3369345193691908,0.0242147631913852,0.3843974487643561,0.5714285714285714,0.7880479523113796,7.0,120.51950073242188,0,0.5714285714285714
2020-05-27,AMZN,120.24949645996094,120.6790008544922,116.5,120.51950073242188,101138000,-0.0047360423470356,121.2797508239746,119.71730041503906,121.07314152521111,120.2934317370709,33.85218298848412,0.8874914347066607,0.7048924194027392,0.1825990153039215,0.0234052626326782,0.3715470257773176,0.4,0.7587845802307129,10.0,120.05500030517578,0,0.5142857142857143
2020-05-28,AMZN,119.21649932861328,121.84850311279295,118.9114990234375,120.05500030517578,63804000,-0.0038541516055345,121.44565048217774,119.7882755279541,120.88802493975015,120.27072398165232,33.22389677090466,0.7551707537450767,0.7149480862712068,0.0402226674738699,0.0227958777503028,0.3618733406683916,-0.5,0.7733047306537628,4.0,122.11849975585938,1,0.1761904761904763
2020-05-29,AMZN,120.7969970703125,122.11849975585938,119.91000366210938,122.11849975585938,70198000,0.0171879509011556,121.71325073242188,119.70920066833496,121.1117476335882,120.4467026268149,38.669549365059865,0.8075044128325999,0.7334593515834854,0.0740450612491144,0.0209726271081231,0.3329301340067133,-0.25,0.7955496311187744,4.0,123.552001953125,1,0.03412698412698421
2020-06-01,AMZN,122.4000015258789,123.84649658203124,122.20850372314452,123.552001953125,58578000,0.0117386161812624,122.01955108642578,120.17170066833496,121.55543023714031,120.7424454197968,42.196211479343525,0.9536576895311129,0.7774990191730109,0.1761586703581019,0.0112695978322297,0.1788993194387557,0.0909090909090909,0.7785481106151234,11.0,123.62049865722656,1,0.053054353054353104
2020-06-02,AMZN,123.3499984741211,123.67649841308594,122.2655029296875,123.62049865722656,50598000,0.0005543957444538,122.25030059814452,120.56275062561036,121.93089722261054,121.01654572812345,42.36674777267088,1.0627614731459545,0.8345515099675996,0.2282099631783548,0.011081544907516,0.1759140718060908,0.0,0.7283420413732529,4.0,123.91999816894533,1,0.035369568702902074
2020-06-03,AMZN,123.40049743652344,124.4000015258789,123.05850219726562,123.91999816894533,53420000,0.0024227334056401,122.39565048217771,120.9642505645752,122.29255194012596,121.29306500820172,43.156431120283926,1.160022102575084,0.8996456284890966,0.2603764740859875,0.0110677350968037,0.1756948478573045,0.0,0.0,0.0,123.02999877929688,0,0.023579712468601386
2020-06-04,AMZN,123.87149810791016,125.3769989013672,122.50050354003906,123.02999877929688,58974000,-0.007182048118134,122.2089500427246,121.23760032653809,122.42663318361156,121.45848727211556,41.34356373686131,1.1520067230097055,0.9501178473932184,0.2018888756164871,0.0109899688749031,0.1744603473560035,0.0,0.0,0.0,124.1500015258789,1,0.015719808312400926
2020-06-05,AMZN,122.22550201416016,124.43250274658205,121.85649871826172,124.1500015258789,66128000,0.0091034931130187,122.39025039672852,121.52607536315918,122.7399728822056,121.71482196295015,44.50296202814834,1.2219435339264493,1.0044829846998646,0.2174605492265846,0.0110479039966752,0.1753800389023162,0.0,0.0,0.0,126.2030029296875,1,0.010479872208267285
2020-06-08,AMZN,125.01000213623048,126.5,124.36699676513672,126.2030029296875,79414000,0.016536458949464,122.8261505126953,121.88720054626464,123.3696147090205,122.14226776930607,49.83667746427471,1.4265842409721472,1.0889032359543211,0.337681005017826,0.0114806173189166,0.1822491499401269,0.0,0.0,0.0,130.04299926757812,1,0.006986581472178191
2020-06-09,AMZN,126.47200012207033,131.32150268554688,126.25,130.04299926757812,103520000,0.0304271392023058,123.72115020751951,122.36685066223144,124.58295735603096,122.89471838818912,57.972788393130784,1.876982403179028,1.2465190693992625,0.6304633337797654,0.0128805563434401,0.2044724929973884,0.3333333333333333,0.8397435446580251,6.0,132.37249755859375,1,0.11576883209256324
