Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2021-12-08,327.6824951171875,329.8534337353291,320.25770474167234,322.17089696162867,19937700
2021-12-09,326.9488525390625,333.20392019867387,325.1446887738211,326.67129120994196,16879200
2021-12-10,326.8794860839844,332.1135218307641,323.5289045553866,329.66502227155183,14528000
2021-12-13,331.5782165527344,338.120768847072,326.72087766442525,328.0690544396318,22948700
2021-12-14,330.8347473144531,332.7777070826221,324.7977650571663,325.19427696326966,20461000
2021-12-15,338.685791015625,339.1318555324003,321.1597059007008,329.59560422727736,24681300
2021-12-16,331.98468017578125,341.46145769089816,330.8347743776726,336.0291806038767,22635000
2021-12-17,330.8843078613281,334.17538368642465,327.8707631250314,329.9029054140039,40012600
2021-12-20,322.61688232421875,327.0281257262868,319.7222883986814,326.9091751988659,17901800
2021-12-21,331.2908020019531,333.0751209060378,320.9317571230052,323.5686054604087,16116800
2021-12-22,327.5733947753906,331.5980494399973,325.40245663710306,330.89420831620754,16764600
2021-12-23,332.32171630859375,333.73929110820535,325.5016020696293,327.226475890015,13987700
2021-12-27,343.16644287109375,344.841733582663,335.06758091224634,335.90026495348917,17795000
2021-12-28,343.2061462402344,349.63964092460617,342.19503626000375,343.6125808087769,16637600
2021-12-29,339.95465087890625,346.64589097074906,338.6659797027257,343.8900925578149,10747000
2021-12-30,341.3622741699219,344.2073157522339,340.2322137913024,341.0054225509634,10593300
2021-12-31,333.4220886230469,340.45036673933066,333.3427680797524,340.0340095168431,12870500
2022-01-03,335.59295654296875,338.11082360220985,334.2547024867432,335.35502521507095,14537900
2022-01-04,333.6004638671875,340.103355842502,328.9810261084693,336.9907056585959,15998000
2022-01-05,321.3480529785156,332.8371562358702,321.0209087490122,330.12098787578486,20564500
2022-01-06,329.5658874511719,336.2174978797131,319.9106849971609,320.0098205355799,27962800
2022-01-07,328.9017639160156,334.0664021975525,326.0170919463344,329.8434759787728,14722000
2022-01-10,325.2141418457031,325.4817805917903,312.6841591437298,322.4781581002386,24942400
2022-01-11,331.4592590332031,331.71700537861085,322.4483923442952,323.9353346411827,16226800
2022-01-12,330.3589172363281,333.4418295668102,327.15702411733304,332.2621863257024,14104900
2022-01-13,323.6379089355469,332.7082495131672,322.9241755317914,332.06391399981203,14797100
2022-01-14,329.0107421875,329.8335338228713,318.4137982227158,318.98876615498534,16868500
2022-01-18,315.3804931640625,321.38773834799343,314.8749532934416,320.4757639036312,22645600
2022-01-19,316.80792236328125,324.25255648211686,316.5501760176956,316.7979997340146,20814700
2022-01-20,313.8043212890625,324.96631190525255,313.2293835392829,321.08042246053043,16925000
2022-01-21,300.5308532714844,315.5390405849981,300.40198010913116,312.0695088375882,28710700
2022-01-24,306.0225830078125,306.83545193460026,286.49409527277817,295.247214295692,38878100
2022-01-25,297.53717041015625,303.56426059087903,294.9895351520155,297.33892957316243,25108500
2022-01-26,292.065185546875,304.8330671393812,288.3180924927191,304.3374197499325,28348800
2022-01-27,292.07513427734375,299.08356599902004,291.69843738739166,295.15804679430795,21629900
2022-01-28,299.08355712890625,299.27190556829635,290.4791251947652,293.0465751951822,21871600
2022-01-31,310.5329895019531,311.0583744864284,296.71433887037983,298.06248515057547,21579500
2022-02-01,316.2230529785156,316.8773112011151,309.40293966017686,311.821701482423,18023800
2022-02-02,320.1883239746094,325.1447995779315,314.1116800446282,324.9663737166742,58458300
2022-02-03,235.69024658203125,245.84111079571545,233.697749476169,242.5202671599868,188119900
2022-02-04,235.02609252929688,240.49804434059385,228.10685870647143,232.92455228605658,89342200
2022-02-07,222.95211791992188,236.2255547358029,222.0599435210588,235.63077180322753,88613800
2022-02-08,218.2633056640625,223.8046556975706,214.26838839341522,218.92748656351395,94729700
2022-02-09,229.9803924560547,231.33846148499288,220.2756230677488,222.2482900293233,86563300
2022-02-10,226.0846405029297,232.9543070635339,224.72655617184256,226.28289646247256,49310400
2022-02-11,217.6387939453125,228.41416445140362,216.86558514893198,226.471234956997,46156900
2022-02-14,215.80490112304688,219.07617738521267,212.91032177090045,217.40088654976037,38184000
2022-02-15,219.07615661621094,219.22484478977512,213.18786292773044,218.55077156833923,42685500
2022-02-16,214.65499877929688,215.56700343123342,210.51139320740756,210.5609609793981,45817500
2022-02-17,205.90185546875,215.60662518366414,205.3566402879214,212.15692341599396,38747500
2022-02-18,204.36534118652344,208.9153807236556,203.39386138428333,207.5672191801396,37128400
2022-02-22,200.32089233398438,205.6738792012657,198.31847222951438,200.57862358467415,39852400
2022-02-23,196.72244262695312,205.1385406073783,196.32593077226764,202.38274237722837,44481400
2022-02-24,205.79281616210938,206.53628729690607,188.56410689144704,189.3967909321892,49957200
2022-02-25,208.64773559570312,209.48043476464565,201.4112801723448,203.15596878731102,37627600
2022-02-28,209.1929473876953,211.29448759324586,205.02951211449042,205.87210364692402,34239800
2022-03-01,201.7185821533203,209.90667166894585,200.4596335354331,208.04303262444745,27094900
2022-03-02,206.29837036132812,207.32931034252405,200.2613883982864,202.99735671935014,29452100
2022-03-03,201.20310974121094,207.25992166380965,199.66659975329932,207.20044639508353,27263500
2022-03-04,198.31846618652344,204.09771758664783,197.05951735897975,200.60835511137336,32130900
2022-03-07,185.8380584716797,199.14123438340457,185.64971001813566,199.04209884176245,38560600
2022-03-08,188.63351440429688,194.9877188332705,184.48990866339375,186.21476736768085,37508100
2022-03-09,196.7720184326172,197.3668013649127,192.2318864189058,194.03605022116608,31894700
2022-03-10,193.5106658935547,194.57134347134718,189.40670599838367,193.14387652938188,24853000
2022-03-11,185.97683715820312,191.87503879956054,185.04501753022495,190.96304930488995,34694500
2022-03-14,185.00537109375,190.61608870370827,184.20242464895531,185.40188300136523,31010500
2022-03-15,190.3583526611328,190.60617637861344,184.29163289751435,189.1390642063968,31721700
2022-03-16,201.8573760986328,201.95649650852528,192.8266793674669,193.0051051808488,40640300
2022-03-17,206.03076171875,206.22901770563317,199.35935019767493,199.94421065306705,29499700
2022-03-18,214.6054229736328,214.91272195046668,204.20673477217082,204.90063812727288,52128000
2022-03-21,209.64895629882812,212.8409269719916,205.82255751754292,212.63274839506389,30142300
2022-03-22,214.76400756835938,217.54955859989062,208.3503291456667,209.52997235144798,31998800
2022-03-23,211.601806640625,214.91272782980164,210.3131203024904,211.47293346902381,23717300
2022-03-24,217.65859985351562,218.7490150246612,212.92019693825017,213.12837549531818,31502300
2022-03-25,219.88905334472656,223.53701150483215,216.9845512720911,218.59044425279404,40039000
2022-03-28,221.6436309814453,222.0897106771945,217.628883467782,220.1963488462626,26224100
2022-03-29,227.85902404785156,228.88005648497796,223.3287995371799,224.10202339948714,31417900
2022-03-30,225.8665313720703,229.1377921857716,224.7364558793833,226.91730146383702,25588000
2022-03-31,220.42431640625,226.50095848284667,220.3251808740348,226.46129821957717,24192300
2022-04-01,222.8926544189453,225.30149365853208,220.7613614029989,222.59526293695754,19544800
2022-04-04,231.85397338867188,232.3099757174328,223.89387621416836,224.01282676690582,28054800
2022-04-05,229.82176208496094,234.7980657676506,229.00890828773225,232.042267682143,29727200
2022-04-06,221.3561553955078,226.99662582724713,219.4826086293868,224.9347306089512,28995100
2022-04-07,221.0092010498047,223.55683627381228,216.6574169233372,221.9806658434369,21037200
2022-04-08,220.39459228515625,223.17022097182485,218.11461103803705,220.44416005430307,18375700
2022-04-11,214.57569885253906,218.6895666015548,213.34648774183083,216.51862836918798,20516600
2022-04-12,212.27586364746094,220.09717885895486,211.27466136470724,218.32276785764725,20128800
2022-04-13,213.11851501464844,214.72440805564824,209.4903717266493,209.97611171634134,19231800
2022-04-14,208.35035705566406,213.1184982815987,208.1719312322115,213.01936274015176,18379500
2022-04-18,208.93521118164062,211.52249123883075,206.48671179270767,208.17190994324702,16580800
2022-04-19,215.41827392578125,216.5285192787811,207.18061642952617,208.687388784282,20089900
2022-04-20,198.67532348632812,212.29572095663042,197.18838112552498,211.7505057324773,43036500
2022-04-21,186.432861328125,201.20315104850755,183.9645312875298,199.84508171391923,49954100
2022-04-22,182.50729370117188,191.04234288346137,181.67460966532872,188.71279395775377,36426800
2022-04-25,185.3622283935547,185.55056170817895,180.07862505796282,181.139302675937,29281100
2022-04-26,179.37481689453125,185.56050278364089,177.93744225250256,185.00538003576446,31747400
2022-04-27,173.42703247070312,179.6325479655742,167.52883108777505,172.91155490901065,71062900
2022-04-28,203.93910217285156,206.71473100829363,191.22078637719784,201.15356583343285,100890600
2022-04-29,198.72488403320312,210.6303299905901,198.15983869617668,202.68015601451035,49193400
2022-05-02,209.29208374023438,210.03555486785692,199.24035469981607,199.41878050998523,49915300
2022-05-03,210.18423461914062,213.02924584651242,206.27853069841137,208.61798702460686,41556300
2022-05-04,221.4652099609375,222.34746186757863,205.15841094441203,208.81627662972593,41375900
2022-05-05,206.4668731689453,218.25336736113462,204.3653331000741,216.83582310266792,41129200
2022-05-06,201.99615478515625,207.55731947021067,199.27009396161898,205.53506951603146,34747200
2022-05-09,194.5019989013672,200.80663571599845,193.87747821010933,198.10038947118863,36303200
2022-05-10,195.92942810058594,201.19321664925386,192.49955626673494,197.77323719295447,34452500
2022-05-11,187.0970001220703,198.92314071841457,186.6310903208202,194.62092459185249,31153400
2022-05-12,189.5752716064453,196.32598850524704,183.17149890102877,185.4316504144788,38262200
2022-05-13,196.8909912109375,198.14993998847334,189.61489016381347,190.90357657872764,24549800
2022-05-16,198.2986297607422,203.58223351596016,194.22440702177838,195.33466762129902,27112600
2022-05-17,200.8561553955078,203.67144423340272,196.6332448276037,200.36050797611236,24872700
2022-05-18,190.56654357910156,199.25028175657994,189.96185306425463,198.25898682246762,23960000
2022-05-19,189.6248016357422,193.58998137940185,187.94952589985266,189.5355887217403,24446900
2022-05-20,191.85519409179688,196.18716276985003,186.23455423988324,193.2727535593855,31465600
2022-05-23,194.52178955078125,195.27518333819546,189.57523779332573,193.49084953374,25059200
2022-05-24,179.70193481445312,182.08103647842762,174.57694209488812,178.97829378660447,50406300
2022-05-25,182.229736328125,183.8356291645361,177.75900194507628,178.82958708537754,28030200
2022-05-26,189.9618377685547,191.15138856851496,180.67339469817318,181.28800779348728,23056500
2022-05-27,193.43138122558594,193.62963718300583,188.1477775238642,189.69419516808324,22562700
2022-05-31,191.95433044433594,195.87986462999697,190.3385150297135,193.19344898292155,26131100
2022-06-01,186.9978790283203,197.79308044410078,183.38956601023835,194.79936545558363,36623500
2022-06-02,197.12889099121094,199.19078605787604,186.09577466544653,186.80950815490593,31951600
2022-06-03,189.1192626953125,194.89851447671586,188.12796767536602,194.27399377384188,19465000
2022-06-06,192.55905151367188,195.20580731781783,186.7599697806363,192.30132026201116,30574200
2022-06-07,193.9468231201172,194.81916739139774,189.8230482148781,190.25920522456,18828700
2022-06-08,194.92823791503906,200.27131707822286,192.71765441688768,192.97538565794966,22267200
2022-06-09,182.3982391357422,197.71374042928548,182.08101754635067,192.58874824259723,23501600
2022-06-10,174.0416717529297,181.50612195042973,173.49645647353194,181.44663154416335,27450800
2022-06-13,162.8301239013672,171.077706202403,162.6021302689285,169.10502355384233,31749300
2022-06-14,162.30471801757812,165.2984330034951,159.9553538250922,164.58469942902533,27244300
2022-06-15,167.8757781982422,170.6613141290513,162.55251490737075,165.74448533100573,30008300
