,Date,Stock_symbol,AvgSentiment,HeadlineCount,AvgConfidence
0,2018-07-25 00:00:00+00:00,GOOGL,0.0,3,0.8030874133110046
1,2018-07-26 00:00:00+00:00,GOOGL,0.0,4,0.9018000215291977
2,2018-07-27 00:00:00+00:00,GOOGL,1.0,1,0.5779475569725037
3,2018-07-29 00:00:00+00:00,GOOGL,0.0,1,0.9450547099113464
4,2018-07-30 00:00:00+00:00,GOOGL,0.3333333333333333,3,0.7768602172533671
5,2018-07-31 00:00:00+00:00,GOOGL,0.4,5,0.8751744389533996
6,2018-08-01 00:00:00+00:00,GOOGL,0.16666666666666666,6,0.779136598110199
7,2018-08-02 00:00:00+00:00,GOOGL,0.0,2,0.8493165373802185
8,2018-08-03 00:00:00+00:00,GOOGL,0.0,2,0.9091587662696838
9,2018-08-05 00:00:00+00:00,GOOGL,0.0,1,0.9444236755371094
10,2018-08-06 00:00:00+00:00,GOOGL,0.0,1,0.8465057015419006
11,2018-08-07 00:00:00+00:00,GOOGL,0.0,1,0.8997687697410583
12,2018-08-10 00:00:00+00:00,GOOGL,-1.0,1,0.877914309501648
13,2018-08-13 00:00:00+00:00,GOOGL,-0.25,4,0.85332190990448
14,2018-08-14 00:00:00+00:00,GOOGL,0.0,6,0.8102132578690847
15,2018-08-15 00:00:00+00:00,GOOGL,0.0,2,0.8592508435249329
16,2018-08-16 00:00:00+00:00,GOOGL,0.0,1,0.8405691981315613
17,2018-08-20 00:00:00+00:00,GOOGL,-1.0,1,0.904122233390808
18,2018-08-21 00:00:00+00:00,GOOGL,0.0,1,0.9101837873458862
19,2018-08-22 00:00:00+00:00,GOOGL,0.3333333333333333,3,0.8059834043184916
20,2018-08-23 00:00:00+00:00,GOOGL,0.0,4,0.9031498432159424
21,2018-08-28 00:00:00+00:00,GOOGL,-0.25,8,0.880256325006485
22,2018-08-29 00:00:00+00:00,GOOGL,0.4,5,0.7200475931167603
23,2018-08-30 00:00:00+00:00,GOOGL,0.0,6,0.8125371932983398
24,2018-08-31 00:00:00+00:00,GOOGL,0.0,1,0.903014838695526
25,2018-09-02 00:00:00+00:00,GOOGL,0.0,1,0.9361644983291626
26,2018-09-03 00:00:00+00:00,GOOGL,0.5,2,0.6745487153530121
27,2018-09-04 00:00:00+00:00,GOOGL,-0.25,4,0.7688078433275223
28,2018-09-05 00:00:00+00:00,GOOGL,-0.5,6,0.8306844035784403
29,2018-09-06 00:00:00+00:00,GOOGL,0.5,2,0.861545741558075
30,2018-09-11 00:00:00+00:00,GOOGL,0.0,1,0.691973865032196
31,2018-09-12 00:00:00+00:00,GOOGL,0.25,4,0.8149140030145645
32,2018-09-13 00:00:00+00:00,GOOGL,-1.0,1,0.7938783168792725
