,Date,Stock_symbol,AvgSentiment,HeadlineCount,AvgConfidence
0,2011-03-03 00:00:00+00:00,NVDA,-1.0,1,0.8250965476036072
1,2011-03-07 00:00:00+00:00,NVDA,0.0,2,0.9094385802745819
2,2011-03-08 00:00:00+00:00,NVDA,0.25,4,0.7363911867141724
3,2011-03-09 00:00:00+00:00,NVDA,0.0,3,0.9225412408510844
4,2011-03-10 00:00:00+00:00,NVDA,0.0,2,0.8881717324256897
5,2011-03-15 00:00:00+00:00,NVDA,-0.3333333333333333,3,0.904733935991923
6,2011-03-16 00:00:00+00:00,NVDA,-0.3333333333333333,3,0.9311009844144186
7,2011-03-22 00:00:00+00:00,NVDA,0.0,1,0.9008702039718628
8,2011-03-24 00:00:00+00:00,NVDA,0.0,3,0.922197163105011
9,2011-03-28 00:00:00+00:00,NVDA,0.25,4,0.8084978014230728
10,2011-03-29 00:00:00+00:00,NVDA,0.0,1,0.9214016199111938
11,2011-03-30 00:00:00+00:00,NVDA,-1.0,1,0.7615098357200623
12,2011-04-04 00:00:00+00:00,NVDA,-0.5,2,0.935923546552658
13,2011-04-06 00:00:00+00:00,NVDA,0.0,1,0.7407199144363403
14,2011-04-07 00:00:00+00:00,NVDA,1.0,1,0.94189190864563
15,2011-04-08 00:00:00+00:00,NVDA,-1.0,1,0.9494683742523192
16,2011-04-12 00:00:00+00:00,NVDA,0.0,2,0.8392183184623718
17,2011-04-14 00:00:00+00:00,NVDA,0.0,1,0.9093146920204164
18,2011-04-16 00:00:00+00:00,NVDA,0.0,1,0.9316763281822203
19,2011-04-18 00:00:00+00:00,NVDA,0.0,2,0.8990111947059631
20,2011-04-26 00:00:00+00:00,NVDA,1.0,1,0.9183583855628968
21,2011-04-27 00:00:00+00:00,NVDA,0.0,2,0.9327644407749176
22,2011-04-28 00:00:00+00:00,NVDA,0.0,3,0.9135600129763285
23,2011-04-29 00:00:00+00:00,NVDA,0.0,1,0.8771597146987915
24,2011-05-09 00:00:00+00:00,NVDA,0.0,3,0.9188920060793558
25,2011-05-10 00:00:00+00:00,NVDA,0.0,2,0.9066491723060608
26,2011-05-11 00:00:00+00:00,NVDA,0.0,2,0.9232243597507477
27,2011-05-12 00:00:00+00:00,NVDA,-0.14285714285714285,7,0.8644509656088692
28,2011-05-13 00:00:00+00:00,NVDA,-0.05555555555555555,18,0.8042345444361368
29,2011-05-16 00:00:00+00:00,NVDA,-0.5,2,0.7173687964677811
30,2011-05-17 00:00:00+00:00,NVDA,0.0,3,0.74360058705012
31,2011-05-18 00:00:00+00:00,NVDA,0.0,1,0.8865963816642761
32,2011-05-23 00:00:00+00:00,NVDA,0.0,1,0.9162964820861816
33,2011-05-24 00:00:00+00:00,NVDA,0.0,1,0.9467597007751464
34,2011-05-26 00:00:00+00:00,NVDA,0.0,1,0.9278272986412048
35,2011-05-31 00:00:00+00:00,NVDA,0.5,2,0.9316732287406922
36,2011-06-01 00:00:00+00:00,NVDA,0.0,1,0.9165493845939636
37,2011-06-02 00:00:00+00:00,NVDA,-1.0,1,0.9522095322608948
38,2011-06-09 00:00:00+00:00,NVDA,0.6666666666666666,3,0.7553249597549438
39,2011-06-15 00:00:00+00:00,NVDA,-1.0,1,0.9512869119644164
40,2011-06-23 00:00:00+00:00,NVDA,0.0,2,0.8653318881988525
41,2011-06-27 00:00:00+00:00,NVDA,0.0,2,0.8972688615322113
42,2011-06-30 00:00:00+00:00,NVDA,0.0,1,0.910619020462036
43,2011-07-05 00:00:00+00:00,NVDA,0.0,1,0.911725640296936
44,2011-07-18 00:00:00+00:00,NVDA,0.0,2,0.9136765599250793
45,2011-07-19 00:00:00+00:00,NVDA,0.5,2,0.732375979423523
46,2011-07-21 00:00:00+00:00,NVDA,-0.5,2,0.7605877220630646
47,2011-07-26 00:00:00+00:00,NVDA,0.0,1,0.7532508373260498
48,2011-07-28 00:00:00+00:00,NVDA,0.0,1,0.8551883101463318
49,2011-08-01 00:00:00+00:00,NVDA,0.0,1,0.9434985518455504
50,2011-08-02 00:00:00+00:00,NVDA,0.0,2,0.7161720991134644
51,2011-08-03 00:00:00+00:00,NVDA,0.0,2,0.8844342529773712
52,2011-08-07 00:00:00+00:00,NVDA,0.0,1,0.7845684885978699
53,2011-08-08 00:00:00+00:00,NVDA,1.0,2,0.8614935278892517
54,2011-08-10 00:00:00+00:00,NVDA,1.0,2,0.670448362827301
55,2011-08-11 00:00:00+00:00,NVDA,0.3333333333333333,9,0.8385512034098307
56,2011-08-12 00:00:00+00:00,NVDA,-0.05555555555555555,18,0.8275957538021935
57,2011-08-15 00:00:00+00:00,NVDA,0.0,4,0.8618918061256409
58,2011-08-23 00:00:00+00:00,NVDA,0.4,5,0.8946937441825866
59,2011-08-26 00:00:00+00:00,NVDA,0.0,1,0.8316385746002197
60,2011-08-31 00:00:00+00:00,NVDA,0.0,1,0.8762087821960449
61,2011-09-04 00:00:00+00:00,NVDA,0.0,2,0.7762664556503296
